condition;test;comparison;correction;type_ci;distance;1%;5%;10%;groups;differences;ssize;normalData;ssizediff;what;runs;perm;boot;1%_perCentage;5%_perCentage;10%_perCentage
100;CIO;Eta3 ~ Eta1;NA;CI_bca;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;CIO;Eta3 ~ Eta1;NA;CI_percentile;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;CIO;Eta3 ~ Eta1;NA;CI_standard_z;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;CIP;Eta3 ~ Eta1;NA;CI_basic;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;CIP;Eta3 ~ Eta1;NA;CI_bca;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;CIP;Eta3 ~ Eta1;NA;CI_percentile;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;CIP;Eta3 ~ Eta1;NA;CI_standard_z;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;NBT;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;BH;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;bonferroni;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;BY;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;fdr;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;hochberg;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;holm;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;hommel;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTE;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;NDT;overall;NA;NA;dG;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;NDT;overall;NA;NA;dL;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;BH;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;bonferroni;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;BY;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;fdr;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;hochberg;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;holm;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;hommel;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;PTU;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;BH;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;bonferroni;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;BY;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;fdr;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;hochberg;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;holm;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;hommel;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
100;OTG;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;3000;TRUE;severely unequal;path;500;1000;1000;1;1;1
101;NPT;Eta3 ~ Eta1;BH;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;bonferroni;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;BY;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;fdr;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;hochberg;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;holm;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;hommel;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;NPT;Eta3 ~ Eta1;none;NA;NA;495;467;440;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.01;0.066;0.12
101;CIO;Eta3 ~ Eta1;NA;CI_basic;NA;498;494;484;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.004;0.012;0.032
101;CIO;Eta3 ~ Eta1;NA;CI_bca;NA;500;496;491;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0;0.008;0.018
101;CIO;Eta3 ~ Eta1;NA;CI_percentile;NA;500;496;491;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0;0.008;0.018
